estado,mov_codigo,caminho_prefixo,comp_descricao,comp_valor,grau,papel,confianca,observacao
suspensao,,Magistrado > Despacho > Suspensão ou Sobrestamento,,,,entrada,alta,Subárvore Suspensão (Despacho)
suspensao,12065,,,,,entrada,media,Cumprimento de suspensão ou sobrestamento
secretaria,12066,,,,,entrada,media,Cumprimento de levantamento da suspensão (fim da suspensão)
secretaria,12067,,,,,entrada,media,Levantamento da suspensão (decisão)
secretaria,12068,,,,,entrada,media,Levantamento da suspensão (despacho)
sentenca,,Magistrado > Julgamento > Com Resolução do Mérito > Acolhimento,,,,evidencia,alta,Embargos de declaração acolhidos — não conta como nova sentença
sentenca,200,,,,,evidencia,alta,Embargos de declaração não acolhidos
sentenca,871,,,,,evidencia,alta,Embargos de declaração acolhidos em parte
sentenca,15164,,,,,evidencia,alta,Embargos de declaração não acolhidos (decisão)
sentenca,,Magistrado > Julgamento,,,G1;JE,terminal,alta,Qualquer julgamento no 1º grau/JE (com ou sem mérito) = sentença
sentenca,12185,,,,,evidencia,media,Decisão interlocutória de mérito (julgamento parcial; art. 356 CPC)
julgamento_recursal,,Magistrado > Julgamento,,,G2;TR,terminal,alta,Julgamento no documento de 2º grau / Turma Recursal (acórdão)
recurso,123,,motivo_da_remessa,38,,entrada,alta,Remessa em grau de recurso
recurso,85,,tipo_de_peticao,44,,entrada,alta,Apelação protocolada
recurso,85,,tipo_de_peticao,46,,evidencia,alta,Contrarrazões
recurso,1060,,,,,evidencia,alta,Recebimento do recurso
recurso,1059,,,,,evidencia,alta,Recebimento do recurso sem efeito suspensivo
recurso,394,,,,,evidencia,alta,Recebimento do recurso com efeito suspensivo
julgamento_recursal,123,,motivo_da_remessa,194,,evidencia,alta,Remessa por julgamento definitivo do recurso (retorno)
julgamento_recursal,132,,,,G1;JE,evidencia,baixa,Recebimento dos autos no 1º grau (pode ser retorno do 2º grau)
transito_julgado,848,,,,,evidencia,alta,Trânsito em julgado (marco; não é baixa)
cumprimento,11385,,,,,entrada,alta,Execução/cumprimento de sentença iniciado
cumprimento,85,,tipo_de_peticao,52,,entrada,media,Petição de execução/cumprimento de sentença
cumprimento,85,,tipo_de_peticao,53,,evidencia,media,Impugnação ao cumprimento
cumprimento,10966,,,,,evidencia,baixa,Mudança de classe processual (possível conversão em cumprimento)
baixa,22,,,,,terminal,alta,Baixa definitiva
baixa,246,,,,,terminal,alta,Arquivamento definitivo
baixa,867,,,,,terminal,media,Guarda permanente (arquivista)
baixa,861,,,,,terminal,baixa,Arquivamento (genérico)
baixa,245,,,,,evidencia,media,Arquivamento provisório — não é baixa
secretaria,893,,,,,reabertura,alta,Desarquivamento
secretaria,849,,,,,reabertura,alta,Reativação
secretaria,,Magistrado > Despacho,,,,entrada,baixa,Despacho devolvido à secretaria (fim do tempo de gabinete)
secretaria,,Magistrado > Decisão,,,,entrada,baixa,Decisão devolvida à secretaria (fim do tempo de gabinete)
secretaria,92,,,,,entrada,baixa,Publicação
secretaria,1061,,,,,entrada,baixa,Disponibilização no DJe
secretaria,11383,,,,,entrada,baixa,Ato ordinatório
secretaria,123,,,,,entrada,baixa,Remessa (outros motivos)
secretaria,60,,,,,entrada,baixa,Expedição de documento (certidão/ofício/outros)
secretaria,1051,,,,,entrada,baixa,Decurso de prazo
secretaria,132,,,,,entrada,baixa,Recebimento
secretaria,12283,,,,,entrada,baixa,Comunicação eletrônica confirmada
secretaria,118,,,,,entrada,baixa,Protocolo de petição
